"id","title","url"
"GD","GD License","https://libgd.github.io/manuals/2.3.0/files/license-txt.html"
"geogratis","Geogratis","http://geogratis.gc.ca/geogratis/licenceGG"
"GFDL-1.1","GNU Free Documentation License v1.1","https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt"
"GFDL-1.1-invariants-only","GNU Free Documentation License v1.1 only - invariants","https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt"
"GFDL-1.1-invariants-or-later","GNU Free Documentation License v1.1 or later - invariants","https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt"
"GFDL-1.1-no-invariants-only","GNU Free Documentation License v1.1 only - no invariants","https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt"
"GFDL-1.1-no-invariants-or-later","GNU Free Documentation License v1.1 or later - no invariants","https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt"
"GFDL-1.1-only","GNU Free Documentation License v1.1 only","https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt"
"GFDL-1.1-or-later","GNU Free Documentation License v1.1 or later","https://www.gnu.org/licenses/old-licenses/fdl-1.1.txt"
"GFDL-1.2","GNU Free Documentation License v1.2","https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt"
"GFDL-1.2-invariants-only","GNU Free Documentation License v1.2 only - invariants","https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt"
"GFDL-1.2-invariants-or-later","GNU Free Documentation License v1.2 or later - invariants","https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt"
"GFDL-1.2-no-invariants-only","GNU Free Documentation License v1.2 only - no invariants","https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt"
"GFDL-1.2-no-invariants-or-later","GNU Free Documentation License v1.2 or later - no invariants","https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt"
"GFDL-1.2-only","GNU Free Documentation License v1.2 only","https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt"
"GFDL-1.2-or-later","GNU Free Documentation License v1.2 or later","https://www.gnu.org/licenses/old-licenses/fdl-1.2.txt"
"GFDL-1.3","GNU Free Documentation License v1.3","https://www.gnu.org/licenses/fdl-1.3.txt"
"GFDL-1.3-invariants-only","GNU Free Documentation License v1.3 only - invariants","https://www.gnu.org/licenses/fdl-1.3.txt"
"GFDL-1.3-invariants-or-later","GNU Free Documentation License v1.3 or later - invariants","https://www.gnu.org/licenses/fdl-1.3.txt"
"GFDL-1.3-no-cover-texts-no-invariant-sections","GNU Free Documentation License 1.3 with no cover texts and no invariant sections","https://opendefinition.org/licenses/gfdl"
"GFDL-1.3-no-invariants-only","GNU Free Documentation License v1.3 only - no invariants","https://www.gnu.org/licenses/fdl-1.3.txt"
"GFDL-1.3-no-invariants-or-later","GNU Free Documentation License v1.3 or later - no invariants","https://www.gnu.org/licenses/fdl-1.3.txt"
"GFDL-1.3-only","GNU Free Documentation License v1.3 only","https://www.gnu.org/licenses/fdl-1.3.txt"
"GFDL-1.3-or-later","GNU Free Documentation License v1.3 or later","https://www.gnu.org/licenses/fdl-1.3.txt"
"Giftware","Giftware License","http://liballeg.org/license.html#allegro-4-the-giftware-license"
"GL2PS","GL2PS License","http://www.geuz.org/gl2ps/COPYING.GL2PS"
"Glide","3dfx Glide License","http://www.users.on.net/~triforce/glidexp/COPYING.txt"
"Glulxe","Glulxe License","https://fedoraproject.org/wiki/Licensing/Glulxe"
"GLWTPL","Good Luck With That Public License","https://github.com/me-shaon/GLWTPL/commit/da5f6bc734095efbacb442c0b31e33a65b9d6e85"
"gnuplot","gnuplot License","https://fedoraproject.org/wiki/Licensing/Gnuplot"
"GPL-1.0","GNU General Public License v1.0 only","https://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html"
"GPL-1.0+","GNU General Public License v1.0 or later","https://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html"
"GPL-1.0-only","GNU General Public License v1.0 only","https://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html"
"GPL-1.0-or-later","GNU General Public License v1.0 or later","https://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html"
"GPL-2.0","GNU General Public License v2.0 only","https://opensource.org/licenses/GPL-2.0"
"GPL-2.0+","GNU General Public License v2.0 or later","https://opensource.org/licenses/GPL-2.0"
"GPL-2.0-only","GNU General Public License v2.0 only","https://opensource.org/licenses/GPL-2.0"
"GPL-2.0-or-later","GNU General Public License v2.0 or later","https://opensource.org/licenses/GPL-2.0"
"GPL-2.0-with-autoconf-exception","GNU General Public License v2.0 w/Autoconf exception","http://ac-archive.sourceforge.net/doc/copyright.html"
"GPL-2.0-with-bison-exception","GNU General Public License v2.0 w/Bison exception","http://git.savannah.gnu.org/cgit/bison.git/tree/data/yacc.c?id=193d7c7054ba7197b0789e14965b739162319b5e#n141"
"GPL-2.0-with-classpath-exception","GNU General Public License v2.0 w/Classpath exception","https://www.gnu.org/software/classpath/license.html"
"GPL-2.0-with-font-exception","GNU General Public License v2.0 w/Font exception","https://www.gnu.org/licenses/gpl-faq.html#FontException"
